"","NUTS_ID","n","TOT_P_2021","urban_pop","n_0","TIME_TOWN_5K_1_MED","TIME_TOWN_10K_1_MED","TIME_TOWN_50K_1_MED","TIME_TOWN_5K_2_MED","TIME_TOWN_10K_2_MED","TIME_TOWN_50K_2_MED","TIME_TOWN_5K_3_MED","TIME_TOWN_10K_3_MED","TIME_TOWN_50K_3_MED","N_TOWN_5K_15MN_MED","N_TOWN_5K_30MN_MED","N_TOWN_5K_60MN_MED","N_TOWN_5K_120MN_MED","N_TOWN_10K_15MN_MED","N_TOWN_10K_30MN_MED","N_TOWN_10K_60MN_MED","N_TOWN_10K_120MN_MED","N_TOWN_50K_15MN_MED","N_TOWN_50K_30MN_MED","N_TOWN_50K_60MN_MED","N_TOWN_50K_120MN_MED","POP_TOWN_5K_15MN_MED","POP_TOWN_5K_30MN_MED","POP_TOWN_5K_60MN_MED","POP_TOWN_5K_120MN_MED","POP_TOWN_10K_15MN_MED","POP_TOWN_10K_30MN_MED","POP_TOWN_10K_60MN_MED","POP_TOWN_10K_120MN_MED","POP_TOWN_50K_15MN_MED","POP_TOWN_50K_30MN_MED","POP_TOWN_50K_60MN_MED","POP_TOWN_50K_120MN_MED","TIME_TOWN_5K_1_wmean","TIME_TOWN_10K_1_wmean","TIME_TOWN_50K_1_wmean","TIME_TOWN_5K_2_wmean","TIME_TOWN_10K_2_wmean","TIME_TOWN_50K_2_wmean","TIME_TOWN_5K_3_wmean","TIME_TOWN_10K_3_wmean","TIME_TOWN_50K_3_wmean","N_TOWN_5K_15MN_wmean","N_TOWN_5K_30MN_wmean","N_TOWN_5K_60MN_wmean","N_TOWN_5K_120MN_wmean","N_TOWN_10K_15MN_wmean","N_TOWN_10K_30MN_wmean","N_TOWN_10K_60MN_wmean","N_TOWN_10K_120MN_wmean","N_TOWN_50K_15MN_wmean","N_TOWN_50K_30MN_wmean","N_TOWN_50K_60MN_wmean","N_TOWN_50K_120MN_wmean","POP_TOWN_5K_15MN_wmean","POP_TOWN_5K_30MN_wmean","POP_TOWN_5K_60MN_wmean","POP_TOWN_5K_120MN_wmean","POP_TOWN_10K_15MN_wmean","POP_TOWN_10K_30MN_wmean","POP_TOWN_10K_60MN_wmean","POP_TOWN_10K_120MN_wmean","POP_TOWN_50K_15MN_wmean","POP_TOWN_50K_30MN_wmean","POP_TOWN_50K_60MN_wmean","POP_TOWN_50K_120MN_wmean","TIME_TOWN_5K_1_Q1","TIME_TOWN_10K_1_Q1","TIME_TOWN_50K_1_Q1","TIME_TOWN_5K_2_Q1","TIME_TOWN_10K_2_Q1","TIME_TOWN_50K_2_Q1","TIME_TOWN_5K_3_Q1","TIME_TOWN_10K_3_Q1","TIME_TOWN_50K_3_Q1","N_TOWN_5K_15MN_Q1","N_TOWN_5K_30MN_Q1","N_TOWN_5K_60MN_Q1","N_TOWN_5K_120MN_Q1","N_TOWN_10K_15MN_Q1","N_TOWN_10K_30MN_Q1","N_TOWN_10K_60MN_Q1","N_TOWN_10K_120MN_Q1","N_TOWN_50K_15MN_Q1","N_TOWN_50K_30MN_Q1","N_TOWN_50K_60MN_Q1","N_TOWN_50K_120MN_Q1","POP_TOWN_5K_15MN_Q1","POP_TOWN_5K_30MN_Q1","POP_TOWN_5K_60MN_Q1","POP_TOWN_5K_120MN_Q1","POP_TOWN_10K_15MN_Q1","POP_TOWN_10K_30MN_Q1","POP_TOWN_10K_60MN_Q1","POP_TOWN_10K_120MN_Q1","POP_TOWN_50K_15MN_Q1","POP_TOWN_50K_30MN_Q1","POP_TOWN_50K_60MN_Q1","POP_TOWN_50K_120MN_Q1","TIME_TOWN_5K_1_Q3","TIME_TOWN_10K_1_Q3","TIME_TOWN_50K_1_Q3","TIME_TOWN_5K_2_Q3","TIME_TOWN_10K_2_Q3","TIME_TOWN_50K_2_Q3","TIME_TOWN_5K_3_Q3","TIME_TOWN_10K_3_Q3","TIME_TOWN_50K_3_Q3","N_TOWN_5K_15MN_Q3","N_TOWN_5K_30MN_Q3","N_TOWN_5K_60MN_Q3","N_TOWN_5K_120MN_Q3","N_TOWN_10K_15MN_Q3","N_TOWN_10K_30MN_Q3","N_TOWN_10K_60MN_Q3","N_TOWN_10K_120MN_Q3","N_TOWN_50K_15MN_Q3","N_TOWN_50K_30MN_Q3","N_TOWN_50K_60MN_Q3","N_TOWN_50K_120MN_Q3","POP_TOWN_5K_15MN_Q3","POP_TOWN_5K_30MN_Q3","POP_TOWN_5K_60MN_Q3","POP_TOWN_5K_120MN_Q3","POP_TOWN_10K_15MN_Q3","POP_TOWN_10K_30MN_Q3","POP_TOWN_10K_60MN_Q3","POP_TOWN_10K_120MN_Q3","POP_TOWN_50K_15MN_Q3","POP_TOWN_50K_30MN_Q3","POP_TOWN_50K_60MN_Q3","POP_TOWN_50K_120MN_Q3"
"1","AT",42898,8982205,3153790,604,18,30.9,43.3,26.2,42.9,70,31.5,50.5,89.7,0,2,13,55,0,0,4,16,NA,NA,1,3,0,20011,305254,943109,0,0,246513,649309,NA,NA,245385,431383,8.46079792211378,15.5530497355605,NA,19.3762442629622,29.0174006716614,NA,23.8561048094537,35.6413004935868,NA,1.41037317674224,6.38177986363037,24.78181671427,69.2519354657347,0.833500014751389,2.72434329877797,8.96042541892553,25.1149766677559,NA,NA,NA,NA,459488.279610407,615880.763805101,1053013.73112437,1926952.58244974,455381.268919157,589541.941759735,942056.593853514,1620768.62641245,NA,NA,NA,NA,11.5,19.7,28.6,19.3,31,56,24,38.1,77.8,0,1,7,45,0,0,2,13,NA,NA,1,3,0,7001,115618,756061,0,0,66998,502233,NA,NA,132226,359343,26.2,43.4,58.1,35.6,55.9,86.4,41.6,63.9,101.9,1,4,21,69,0,1,7,23,NA,NA,2,4,7563,78816.25,448912,2531658,0,66998,329876,2245730,NA,NA,301430,1931645
"2","BE",24179,11569035,4001978,972,9.9,14,21.4,15,20.4,30.8,18.1,24.5,37.9,1,10,62,199,1,5,28,87,NA,2,8,20,19017,351823,2711757,6460592,12019,302696,2460606,5690261,NA,361543,2142406,4353108,5.51790438009737,8.28269498709268,13.1175522504686,13.6547486631339,17.6826400386895,26.5419913934049,16.6449341193972,21.614007391282,33.1514317054099,2.36563101416842,13.4824589950674,73.6092450234613,221.797952119602,1.42640626465388,6.89008849917041,34.2874605358182,101.182352547123,NA,NA,NA,22.9742644913772,350180.912533068,865979.2080387,3134832.75110543,7551246.22392654,343669.161543119,819888.378167496,2860295.47722079,6714330.67661002,NA,NA,NA,5190999.94517961,6.6,9.1,13.5,11.9,16.1,23.8,14.9,19.8,31.2,1,6,42,156,0,2,18,67,NA,1,6,16,6130,113577,1770939.5,5288527,0,76760,1572708,4637646,NA,209647,1283035,3669733,13.7,20.7,29.8,19,27,38.6,22.5,31.8,45.7,3,14,77,242,1,7,37,109,NA,3,9,25,77499.5,804998.5,3483100,8087940.5,70414,749570,3197453,7181727.5,NA,977611,2706302,5591926
"3","BG",20801,6422602,3069394,524,23,31.7,52.3,37.7,50.7,85.4,47.5,65.7,107.1,0,1,4,20,0,0,2,9,NA,NA,1,3,0,10180,114567,637025,0,0,95407,559523,NA,NA,130091,438388,8.40315404877959,13.5184576749424,27.4376021431812,25.9134648854156,35.808357126909,NA,34.2078076299917,49.6912460245862,NA,1.05447901022047,3.38629499383583,9.3383863736224,26.7954495701275,0.771789221876118,1.63479412238217,4.24161702686855,11.5956199683555,NA,NA,NA,NA,276548.430174406,342583.120146944,507667.835816699,1054865.89335428,274688.167004432,331745.870318603,474281.104372651,952968.024937868,NA,NA,NA,NA,13.1,18.3,31.4,27,36.2,66.725,36.9,49.8,87.1,0,0,3,16,0,0,1,7,NA,NA,1,2,0,0,47540,396297,0,0,37577,337517,NA,NA,70507,226024,35,47.9,73.2,49,65.8,107.7,59,80.9,130.5,1,2,7,26,0,1,4,12,NA,NA,2,4,6626,57054,236876,1393850,0,53634,222782,1316107,NA,NA,389361,1204500
"4","CH",20254,8952748,3214554,814,11,15.85,26.1,16.8,23.5,42.5,20.4,28.5,54.7,1,7,33,129,0,3,15,51,NA,1,3,8,12342,162691,855154,3040049,0,125314.5,736600,2478911.5,NA,217838,635321,1595572,5.32284050662435,8.03163602951854,17.2864437488915,13.2140397562849,17.9602219117527,36.6449497852505,16.8364843397804,22.6536014640421,NA,2.61495129763509,12.0678016403455,49.3542906602531,141.606332826524,1.44040991659767,5.39281022988696,21.1060540294444,59.0452085772994,NA,NA,NA,NA,207797.526421832,459739.097041154,1423720.2255245,3300236.61647094,199350.884936335,411702.819840121,1220937.42002534,2715338.68805656,NA,NA,NA,NA,6.8,9.7,15.9,12.4,17.4,31.4,15.7,21.6,45.1,0,3,19,87,0,1,8,38,NA,1,2,7,0,40807,430753,2178443.5,0,27393,361956,1789205,NA,156938,299393,1123094,17.3,24,40.4,24.3,32.8,56.8,28.8,39.4,68,2,11,53,162,1,5,23,67,NA,2,4,11,53725,312312,1542925,3778353.75,47465,277051,1318646,3103069.5,NA,407878,909458,2073374
"5","CY",2714,914885,460462,141,18.1,21.9,26.9,28.4,44.8,57.9,43,52.8,70.9,0,2,5,9,0,1,3,7,NA,1,2,3,0,78210,280853,490330,0,78210,273495,482972,NA,156304,263682,419986,6.08234040343869,8.04991785852867,13.6839456325112,20.3284899194981,33.0013660733316,52.9585244047067,36.8215893800859,45.0983576077867,NA,1.40923941260377,2.39601152057362,5.67798575777284,9.08870185870355,1.11140853768506,1.93903823977877,4.5845379473923,6.44732288757603,NA,NA,NA,2.86798450078425,119925.162500205,148456.812102067,315178.873699973,478529.94067779,117827.890897763,145402.291986425,308218.369618039,461542.012303186,NA,NA,NA,407471.285321106,10,11.7,15.1,19.2,26.3,41.1,30,32.4,57.3,0,0,2,8,0,0,2,6,NA,1,1,3,0,0,163662,476051,0,0,156304,456827,NA,65815,156304,419986,30.3,34.1,42.575,47.8,58.4,76.4,60.1,78.5,84.6,1,2,7,10,1,2,6,7,NA,1,3,3,26145,197867,462122,502196,26145,197867,456827,482972,NA,197867,419986,419986
"6","CZ",43834,10539990,3426634,771,13.4,20.6,40.5,21.1,31.9,63.7,26.2,39.3,78.6,1,3,19,88,0,1,7,32,NA,NA,2,5,6042,44599,341813.5,2172812,0,31565,252519,1832778,NA,NA,298302,1370806,6.83672147696532,11.4555961153664,26.5086228070423,17.202503123817,25.0256169787638,NA,21.6599007304559,32.0290822856566,NA,1.42635524322129,6.29547143782869,26.8449749003557,96.1558752902043,0.871461832506482,2.77882578636223,11.4568310785874,41.1083945051181,NA,NA,NA,6.9998809296783,209822.248204695,359267.369037826,933490.979152637,2493770.71009242,206130.473931759,336055.646350993,830714.435800983,2125771.41247079,NA,NA,NA,1449857.92071046,8.9,13.1,25.8,16.4,23.7,47.4,20.9,30.6,63.3,0,2,14,73,0,1,4,24,NA,NA,1,4,0,21716,210895,1466939,0,11216,148038,1096478,NA,NA,96762,542460,18.8,28.5,55.2,26.6,39.9,78.7,32,47.6,93.2,1,5,25,101,1,2,10,43,NA,NA,2,8,16377,120614,1099569,2667094.75,13050,103943,1020312,2292403,NA,NA,1127410,1672869
"7","DE",213706,83298725,32515827,8678,11.2,16.7,29.9,17.3,25.2,45.6,21.2,30.5,56.6,1,6,37,133,0,2,14,52,NA,1,3,8,10331,100276,1045442,3578711.5,0,75959,869176,2976771,NA,196912,715061,2116868,5.3476058271,8.52863442987874,NA,14.1751121076582,19.4256262373766,NA,17.5801817962998,24.0763822771602,NA,2.63686633859042,14.5870517826053,72.943274485894,192.976704337311,1.60094051859737,7.67060333756609,34.3521297354791,83.2610059397668,NA,NA,NA,NA,551594.226724335,1107077.86275755,2860869.17707948,5401556.54107019,544351.019246429,1058732.60077994,2593482.90418691,4643472.69780407,NA,NA,NA,NA,7.2,10.4,18.4,13,18.3,33.8,16.4,23,43.5,0,3,24,98,0,1,9,37,NA,1,2,6,0,39511,461694.75,2453752,0,20944,341012,1940557,NA,98696,250103,1162232,16.1,24.1,43.9,22.6,33.5,58.3,27,39.3,68.2,2,11,56,213,1,5,24,87,NA,2,5,13,33588,318479.75,2211842,4978743.25,27614,272714.75,2017091,4216089,NA,642757,1699072,3221140
"8","DK",37730,5883750,2097803,537,15.8,22.3,44.8,24.4,32.8,74.7,29.7,40.1,NA,0,3,13,41,0,1,6,17,NA,NA,1,2,0,32546,215702,737116,0,23183,167997,571221,NA,NA,213564,305004,6.79820133418314,11.4253629063098,NA,18.4849862757594,NA,NA,23.5496828893138,NA,NA,1.57791374548545,6.94193635011685,24.4665901848311,51.1921024856597,1.08218738049713,3.95670788187805,12.4622981941789,22.5848633949437,NA,NA,NA,NA,332181.71511604,497224.720554238,918308.339365541,1381283.88422911,328822.131390015,477219.725024687,837929.744867304,1190730.57010019,NA,NA,NA,NA,10.8,14.8,30.1,19,24.8,58.8,24.2,31.4,NA,0,1,9,30,0,0,3,12,NA,NA,1,1,0,13490,134618,487097,0,0,97300,374544.25,NA,NA,91440,213564,21,32.5,63.5,30.4,44,91.8,36.7,52.8,NA,1,4,18,49,1,2,10,20,NA,NA,2,3,11157,88119,457954,911818,10260,79610,382901,724476,NA,NA,305004,407301
"9","EE",14273,1307567,591946,124,25.5,47.2,58.9,42.6,77.9,NA,55.4,99.05,NA,0,1,3,10,0,0,1,3,NA,NA,NA,1,0,6156,40418,186149,0,0,30791,127244,NA,NA,NA,85364,9.65397008336859,19.6038882137588,NA,NA,NA,NA,NA,NA,NA,0.843342635597258,1.86459049517157,3.89732380826374,9.33587494942898,0.656656217233993,1.08610189764655,1.66333503369235,2.48988694269586,NA,NA,NA,NA,151885.677296077,181235.71773607,220832.247547544,306421.750714877,150541.557842925,175759.788833765,205807.619494068,258544.066567143,NA,NA,NA,NA,16.3,28.5,34.8,32,59.8,NA,46.5,85.5,NA,0,0,2,8,0,0,0,2,NA,NA,NA,1,0,0,15956,143927,0,0,0,96453,NA,NA,NA,85364,36,64.9,77.5,53.9,94.8,NA,65.7,115,NA,0,1,4,12,0,1,1,4,NA,NA,NA,1,0,14637,106882,438119,0,11774,85364,384249,NA,NA,NA,353458
"10","EL",26030,10013597,5414699,689,24.6,32.95,63.5,46.9,59.8,NA,59.1,74.2,NA,0,1,2,10,0,0,1,5,NA,NA,NA,1,0,7730,61418,249032,0,0,51870,222848,NA,NA,NA,208984,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.21016543805388,4.57623279626692,11.8660738993191,21.7837187775781,0.870330911060231,2.12643328865741,5.06903423415182,9.12670741592656,NA,NA,NA,NA,1195306.01762184,1307407.40778414,1535997.87648394,1803653.0357411,1192865.54920555,1289202.21478775,1485904.38702496,1712541.46712904,NA,NA,NA,NA,12.3,17.4,36.8,28.8,42.8,NA,38.7,57.2,NA,0,0,1,4,0,0,1,3,NA,NA,NA,1,0,0,14442,114592,0,0,10583,106840,NA,NA,NA,139146,42.7,55.9,99.3,71.9,87.4,NA,86.6,100.5,NA,1,2,5,18,0,1,3,9,NA,NA,NA,2,7198,45052,158440,937428.75,0,43363,148874,862903,NA,NA,NA,822096
"11","ES",91250,44740638,28035724,3402,15,21.5,32.8,24.7,35.3,54.4,30.9,42.4,66.4,0,2,13,45,0,1,5,18,NA,NA,2,5,0,61254,420355,1277759,0,50733,369993,1077862,NA,NA,382458,823234,4.04192377408658,6.60098671815989,NA,NA,NA,NA,NA,NA,NA,2.60337250890343,11.8047214704448,37.9603463857623,70.085433359265,1.91843086815168,7.79584969262173,20.5591573370053,35.0094493064672,NA,NA,NA,NA,922253.078875004,1468695.48781274,2259794.92922638,3140799.13203721,917529.069721961,1441024.61803061,2142002.83014974,2903673.5066143,NA,NA,NA,NA,8.1,11.5,19,15.5,21.2,38.4,19.6,27,50.1,0,1,5,25,0,0,2,9,NA,NA,1,3,0,7087,139044,711416,0,0,106389,600177,NA,NA,161736,515683,25.6,36.6,50.8,37.9,54.6,73.4,45.6,64.9,84.1,1,6,25,73,1,3,12,37,NA,NA,3,7,30811,235945,881425,2562098,26610,216038,815282,2350177,NA,NA,791183,1657648
"12","FI",88677,5411647,1601330,528,34,43.8,61,48.4,64.8,NA,60.5,76.8,NA,0,0,2,8,0,0,1,3,NA,NA,NA,1,0,0,26277,114354,0,0,18571,86346,NA,NA,NA,145950,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32407305945861,3.3801035063817,8.77849405181084,17.6566660759654,0.898343517232369,1.92305521775533,4.57009501913188,7.88685958267418,NA,NA,NA,NA,213499.01013296,283885.348475612,406970.890669329,564800.185582689,210522.809310548,273745.838942193,378689.06186453,498876.20863057,NA,NA,NA,NA,20.9,27.9,39.9,33.5,46.9,NA,43.5,56.4,NA,0,0,1,4,0,0,0,2,NA,NA,NA,1,0,0,8251,53944,0,0,0,37173,NA,NA,NA,59669,51.9,63.6,81.7,68.9,85.5,NA,81.2,94.7,NA,0,1,5,18,0,1,2,7,NA,NA,NA,2,0,12887,80247,289808,0,11084,59669,208424,NA,NA,NA,878305
"13","FR",373516,65484735,25817896,5437,20.3,28.3,46.1,30.9,43.5,68.4,37.4,53.2,77.6,0,1,9,35,0,1,3,13,NA,NA,1,3,0,17299,220876,917862,0,11811,177516,773757,NA,NA,224594,561518,7.97262511637253,11.7241324333067,NA,20.3215056531875,NA,NA,25.3582733120932,NA,NA,1.51763552223278,6.62512000697567,29.1003979171634,71.275047337368,0.905056025652391,3.21392918517575,13.1564560198648,30.2250112182633,NA,NA,NA,NA,1199117.22948357,1923610.00887605,2736020.56165552,3999057.67943606,1194819.82734538,1899783.53057704,2624686.29679158,3714652.72867258,NA,NA,NA,NA,12.8,18.2,29.6,22.2,32.3,53.3,27.9,40.6,63,0,1,5,24,0,0,2,9,NA,NA,1,2,0,5209,79964,558766,0,0,58418,441530,NA,NA,126508,309642,29.4,39.8,64.4,41.3,55.7,84.6,48.9,66.3,91.7,1,3,15,58,0,1,6,24,NA,NA,2,5,6875,66138,554129,1734273,0,54601,483091,1523215,NA,NA,541897,1222960
